type,id,author,editor,advisor,note,abstract,observaoes,GUI é o foco do estudo,ContextoProcessosDeNegocio,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,766091,Carsten  Schwesig and Ivan  Poupyrev and Eijiro  Mori,,,,,,,,Gummi: User Interface for Deformable Computers,954--955,,2,"GUI, embodied interfaces, handheld devices",10.1145/765891.766091,,,,,,,2003,,CHI '03 Extended Abstracts on Human Factors in Computing Systems,CHI EA '03,,1-58113-637-4,"Ft. Lauderdale, Florida, USA",ACM,"New York, NY, USA"
book,107215,,Joseph W. Sullivan and Sherman W. Tyler,,,,,,,,,,,,,,,,,,,1991,,Intelligent User Interfaces,,,0-201-50305-0,,ACM,"New York, NY, USA"
article,1529307,Jo&#227;o Carlos Silva and Jo&#227;o  Saraiva and Jos&#233; Creissac Campos,,,,,,,,A Generic Library for GUI Reasoning and Testing,121--128,,8,"graphical user interfaces, models, reverse engineering, testing",10.1145/1529282.1529307,,,,,,,2009,,Proceedings of the 2009 ACM Symposium on Applied Computing,SAC '09,,978-1-60558-166-8,"Honolulu, Hawaii",ACM,"New York, NY, USA"
article,215652,Cindy  Grimm and David  Pugmire,,,,,,,,Visual Interfaces for Solids Modeling,51--60,,10,user interfaces,10.1145/215585.215652,,,,,,,1995,,Proceedings of the 8th Annual ACM Symposium on User Interface and Software Technology,UIST '95,,0-89791-709-X,"Pittsburgh, Pennsylvania, USA",ACM,"New York, NY, USA"
article,1314209,Max  Snyder and John  Zimmerman and Jodi  Forlizzi,,,,,,,,Your Dinner's Calling: Supporting Family Dinnertime Activities,485--489,,5,"evaluation/methodology, graphical user interfaces (GUI), interaction techniques, user-centered design",10.1145/1314161.1314209,,,,,,,2007,,Proceedings of the 2007 Conference on Designing Pleasurable Products and Interfaces,DPPI '07,,978-1-59593-942-5,"Helsinki, Finland",ACM,"New York, NY, USA"
article,1822045,Jo&#227;o Carlos Silva and Carlos  Silva and Rui D. Gon&#231;alo and Jo&#227;o  Saraiva and Jos&#233; Creissac Campos,,,,,,,,The GUISurfer Tool: Towards a Language Independent Approach to Reverse Engineering GUI Code,181--186,,6,"analysis, graphical user interfaces, source code",10.1145/1822018.1822045,,,,,,,2010,,Proceedings of the 2Nd ACM SIGCHI Symposium on Engineering Interactive Computing Systems,EICS '10,,978-1-4503-0083-4,"Berlin, Germany",ACM,"New York, NY, USA"
article,502767,Junko  Shirogane and Yoshiaki  Fukazawa,,,,,,,,GUI Prototype Generation by Merging Use Cases,222--223,,2,"graphical user interface, prototype, scenario, use case",10.1145/502716.502767,,,,,,,2002,,Proceedings of the 7th International Conference on Intelligent User Interfaces,IUI '02,,1-58113-459-2,"San Francisco, California, USA",ACM,"New York, NY, USA"
article,2517214,Dean  Kramer and Samia  Oussena and Peter  Komisarczuk and Tony  Clark,,,,,,,,Using Document-oriented GUIs in Dynamic Software Product Lines,85--94,,10,"dynamic software product lines, graphical user interfaces",10.1145/2517208.2517214,,,,,,,2013,,Proceedings of the 12th International Conference on Generative Programming: Concepts &#38; Experiences,GPCE '13,,978-1-4503-2373-4,"Indianapolis, Indiana, USA",ACM,"New York, NY, USA"
article,2517214,Dean  Kramer and Samia  Oussena and Peter  Komisarczuk and Tony  Clark,,,,,,,,Using Document-oriented GUIs in Dynamic Software Product Lines,85--94,,10,"dynamic software product lines, graphical user interfaces",10.1145/2637365.2517214,SIGPLAN Not.,March 2014,49,3,,October,2013,0362-1340,,,,,,ACM,"New York, NY, USA"
article,986071,Chen-Je  Huang,,,,,,,,Not Just Intuitive: Examining the Basic Manipulation of Tangible User Interfaces,1387--1390,,4,"graphical user interface, interface design, tangible usability, tangible user interface",10.1145/985921.986071,,,,,,,2004,,CHI '04 Extended Abstracts on Human Factors in Computing Systems,CHI EA '04,,1-58113-703-6,"Vienna, Austria",ACM,"New York, NY, USA"
