Key,Item Type,Publication Year,Author,1,Title,Fonte,TipoDoLink,TrataSobreGUI,Publication Title,AssuntoGUI,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
IH2RTEKR,journalArticle,2012,"Lohse, Marc; Bolger, Anthony; Nagel, Axel; Fernie, Alisdair R.; Lunn, John E.; Stitt, Mark; Usadel, Björn",12,"RobiNA: a user-friendly, integrated software solution for RNA-Seq-based transcriptomics",,,,Nucleic acids research,,,,,http://nar.oxfordjournals.org/content/early/2012/06/08/nar.gks540.short,,2012,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,gks540,,,,,,RobiNA,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/W58CGWEA/nar.gks540.html; /home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/FQ9S9C79/nar.gks540.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMQTRXP9,journalArticle,2013,"Childs, Hank",13,VisIt: An end-user tool for visualizing and analyzing very large data,,,,,,,,,http://escholarship.org/uc/item/69r5m58v.pdf,,2013,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,,,,,,,VisIt,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9WNSAE55,journalArticle,2014,"Robert, Xavier; Gouet, Patrice",14,Deciphering key features in protein structures with the new ENDscript server,,,,Nucleic acids research,,,,,http://nar.oxfordjournals.org/content/42/W1/W320.short,,2014,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,W320–W324,,W1,42,,,,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/4MXS7UW3/W320.html; /home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/WS9DRX76/W320.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9V7JBGTC,journalArticle,2012,"Hanwell, Marcus D.; Curtis, Donald E.; Lonie, David C.; Vandermeersch, Tim; Zurek, Eva; Hutchison, Geoffrey R.",15,"Avogadro: an advanced semantic chemical editor, visualization, and analysis platform",,,,Journal of cheminformatics,,,,,https://jcheminf.springeropen.com/articles/10.1186/1758-2946-4-17,,2012,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,1,,1,4,,,Avogadro,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/NGCZ6MZA/1758-2946-4-17.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4EU9HJBI,conferencePaper,2013,"Lee, Kyungmin; Flinn, Jason; Giuli, Thomas J.; Noble, Brian; Peplin, Christopher",16,AMC: verifying user interface properties for vehicular applications,,,,"Proceeding of the 11th annual international conference on Mobile systems, applications, and services",,,,,http://dl.acm.org/citation.cfm?id=2464459,,2013,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,1–12,,,,,,AMC,,,,,ACM,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/C36MGGKC/Lee et al. - 2013 - AMC verifying user interface properties for vehic.pdf; /home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/557CFPDK/citation.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3C9CK9WV,journalArticle,2012,"Rödiger, Stefan; Friedrichsmeier, Thomas; Kapat, Prasenjit; Michalke, Meik",17,RKWard: a comprehensive graphical user interface and integrated development environment for statistical analysis with R,,,,Journal of Statistical Software,,,,,https://www.researchgate.net/profile/Stefan_Roediger/publication/234072605_RKWard_A_Comprehensive_Graphical_User_Interface_and_Integrated_Development_Environment_for_Statistical_Analysis_with_R/links/0912f50f5987f702c5000000.pdf,,2012,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,1–34,,9,49,,,RKWard,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/PDNZ9Q9E/Rödiger et al. - 2012 - RKWard a comprehensive graphical user interface a.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4BS3ACN5,conferencePaper,2013,"Lee, Jinha; Olwal, Alex; Ishii, Hiroshi; Boulanger, Cati",18,SpaceTop: integrating 2D and spatial 3D interactions in a see-through desktop environment,,,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,,,http://dl.acm.org/citation.cfm?id=2470680,,2013,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,189–192,,,,,,SpaceTop,,,,,ACM,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/U87FMRA7/Lee et al. - 2013 - SpaceTop integrating 2D and spatial 3D interactio.pdf; /home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/PHR7RMGH/citation.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2E4DGPPG,conferencePaper,2013,"Heun, Valentin; Kasahara, Shunichi; Maes, Pattie",19,Smarter objects: using AR technology to program physical objects and their interactions,,,,CHI'13 Extended Abstracts on Human Factors in Computing Systems,,,,,http://dl.acm.org/citation.cfm?id=2468528,,2013,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,961–966,,,,,,Smarter objects,,,,,ACM,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/UWJXW459/citation.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGTSQHW8,journalArticle,2014,"Tarvainen, Mika P.; Niskanen, Juha-Pekka; Lipponen, Jukka A.; Ranta-Aho, Perttu O.; Karjalainen, Pasi A.",20,Kubios HRV–heart rate variability analysis software,,,,Computer methods and programs in biomedicine,,,,,http://www.sciencedirect.com/science/article/pii/S0169260713002599,,2014,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,210–220,,1,113,,,,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/AUUGDRXU/S0169260713002599.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J4Z8NFSK,journalArticle,2012,"Echols, Nathaniel; Grosse-Kunstleve, Ralf W.; Afonine, Pavel V.; Bunkóczi, Gábor; Chen, Vincent B.; Headd, Jeffrey J.; McCoy, Airlie J.; Moriarty, Nigel W.; Read, Randy J.; Richardson, David C.; others",21,Graphical tools for macromolecular crystallography in PHENIX,,,,Journal of applied crystallography,,,,,http://scripts.iucr.org/cgi-bin/paper?kk5108,,2012,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,581–586,,3,45,,,,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/5BURR8T8/paper.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
